phase,epoch,train_loss,val_ROC_AUC,learning_rate
phase1,1,0.40087717448961624,0.8010296163396158,0.001
phase1,2,0.38741408468034383,0.8050795966147475,0.001
phase1,3,0.3830493408791116,0.8131623013804202,0.001
phase1,4,0.38011605003744975,0.8139576507680074,0.001
phase1,5,0.3789128264158619,0.8187380468785596,0.001
phase1,6,0.3763128510486852,0.8179952610925931,0.001
phase1,7,0.3754469988655959,0.822571759491626,0.001
phase1,8,0.3742162769502747,0.818863738536852,0.001
phase1,9,0.3735720742741907,0.8212359428217261,0.001
phase1,10,0.37329708532480316,0.8251325099521373,0.001
phase1,11,0.37231659237769804,0.8262043883473831,0.001
phase1,12,0.37232601151702605,0.8274809300377676,0.001
phase1,13,0.370206151102703,0.8221343771748094,0.001
phase1,14,0.37054810495290175,0.8289302667107709,0.001
phase1,15,0.3717219887530304,0.8298215133682472,0.001
phase1,16,0.3699646208980916,0.8249862241967043,0.001
phase1,17,0.36873151917402336,0.8278599920547753,0.001
phase1,18,0.3695804761353312,0.8282706075648706,0.001
phase1,19,0.3698485781123478,0.8238320603834464,0.001
phase1,20,0.3689682860128433,0.8274959708427816,0.0005
phase2,1,0.3313780065261656,0.8987256203422874,1e-05
phase2,2,0.3057668505003329,0.9158045080981534,1e-05
phase2,3,0.2936482910166428,0.9182918923431368,1e-05
phase2,4,0.28450737690918076,0.92298304736608,1e-05
phase2,5,0.2779782517386886,0.9227014556939812,1e-05
phase2,6,0.2703316850657502,0.9271732694768318,1e-05
phase2,7,0.26445699099560294,0.9254637600966681,1e-05
phase2,8,0.258588499975974,0.9221041931462517,1e-05
phase2,9,0.2517490937700619,0.9250130439503301,1e-05
phase2,10,0.24649814733176495,0.9259535066976078,1e-05
phase2,11,0.24183783846825155,0.917160543739442,5e-06
phase2,12,0.23153112694316788,0.9207742926285383,5e-06
phase2,13,0.22686779177828906,0.9214113767680137,5e-06
phase2,14,0.22442273663675388,0.9201572363200816,5e-06
